sir_id,event_signature,source_rows_in_signature,min_report_date,max_report_date,source_files
10036/2019,2019-05-07||2019-05-06||Greece-Turkey border||Greece-Turkey border section||land||||||||2,1,2019-05-07,2019-05-07,pdfs/pad-2020-00067-documents/PAD-2020-00067_documents.pdf
10036/2019,2019-05-07||2019-05-06||Greece||GRC-TUR border section||land||0||2||0||5,1,2019-05-07,2019-05-07,pdfs/pad-2025-00339/SIR_10036_2019.pdf
10038/2019,2019-05-09||2019-05-08||Greece||Near a village in Greece||land||1||1||0||0,1,2019-05-09,2019-05-09,pdfs/pad-2020-00167/SIR_Part_1.pdf
10039/2019,"2019-05-14||2019-04-25||Samos Island, Greece||Coastal area of Mykali and Mertziki, Samos Island, Greece||mixed||1||0||0||0",2,2019-05-14,2019-05-14,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf | pdfs/pad-2020-00217/Doc_5.pdf
10045/2019,"2019-05-30||2019-05-30||Kos Island, Greece||Inside Kos Refugee Identification Center, Kos Island, Greece||facility||1||0||0||0",2,2019-05-30,2019-05-30,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_3_Releasable.pdf | pdfs/pad-2020-00217/Doc_5.pdf
10046/2019,"2019-06-11||2019-06-11||Aegean Sea, Greece||Pamfila sea area, east of Lesvos island||sea||7||||||0",1,2019-06-11,2019-06-11,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_2_Releasable.pdf
10046/2019,"2019-06-11||2019-06-11||Lesvos, Greece||Pamfila sea area, east side of Lesvos island||sea||7||||||0",1,2019-06-11,2019-06-11,pdfs/pad-2020-00217/Doc_4.pdf
10048/2019,"2019-06-14||2019-06-13||Bulgaria, Greece, Turkey border area||Border area between Greece and Bulgaria, near the Turkish border, involving a river crossing from Turkey to Bulgaria.||land||0||27||0||3",1,2019-06-14,2019-06-14,pdfs/pad-2025-00339/SIR_10048_2019.pdf
10050/2019,"2019-06-29||2019-06-29||||Hospital (location not specified, likely near operation area)||facility||0||1||0||0",1,2019-06-29,2019-06-29,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_2_Releasable.pdf
10050/2019,"2019-06-29||2019-06-29||||Hospital (location not specified, but likely near the operation area 'Poseidon Sea 2019')||facility||0||1||0||0",1,2019-06-29,2019-06-29,pdfs/pad-2020-00217/Doc_4.pdf
10056/2019,"2019-07-25||2019-07-22||Agathonisi, Samos, Greece||Near Agathonisi island, Samos, within Greek territorial waters (GTW)||sea||||||||0",1,2019-07-25,2019-07-25,pdfs/pad-2020-00217/Doc_4.pdf
10056/2019,"2019-07-25||2019-07-22||Aegean Sea, Greece||Greek Territorial Waters near Agathonisi island, Samos||sea||||||||0",1,2019-07-25,2019-07-25,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_2_Releasable.pdf
10060/2019,"2019-08-11||2019-08-11||Central Mediterranean Sea||Central Mediterranean Sea, near 35.2686111111, 13.2188888889||sea||||1||||0",1,2019-08-11,2019-08-11,pdfs/pad-2020-00236-sirs-/PAD-2020-00236-SIRs-.pdf
10061/2019,"2019-08-13||2019-08-12||Central Mediterranean Sea||Central Mediterranean Sea, near 34.4166666667, 12.6833333333||sea||1||1||||0",1,2019-08-13,2019-08-13,pdfs/pad-2020-00236-sirs-/PAD-2020-00236-SIRs-.pdf
10063/2019,"2019-08-25||2019-08-24||Lesvos, Greece||Moria RIC, Lesvos island||facility||1||2||||0",1,2019-08-25,2019-08-25,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_2_Releasable.pdf
10063/2019,"2019-08-25||2019-08-24||Lesvos, Greece||Moria RIC (Reception and Identification Centre), Lesvos island||facility||1||2||||0",1,2019-08-25,2019-08-25,pdfs/pad-2020-00217/Doc_4.pdf
10064/2019,2019-08-26||2019-07-26||Croatia||Croatia||land||0||7||0||10,1,2019-08-26,2019-08-26,pdfs/pad-2025-00371/10064-2019.pdf
10064/2019,2019-08-26||2019-07-26||Croatia / Bosnia and Herzegovina||Croatia-Bosnia and Herzegovina border area||land||0||7||0||10,1,2019-08-26,2019-08-26,pdfs/pad-2025-00339/10064-2019_redacted2.pdf
10065/2019,"2019-08-26||2019-08-26||Greece||National road near Alexandroupolis, Greece||land||6||10||0||0",1,2019-08-26,2019-08-26,pdfs/pad-2020-00167/SIR_Part_1.pdf
10068/2019,"2019-09-06||2019-09-05||Samos, Greece||Kokkari area, Samos island||land||1||||||0",2,2019-09-06,2019-09-06,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_2_Releasable.pdf | pdfs/pad-2020-00217/Doc_4.pdf
10070/2019,"2019-09-13||2019-09-12||Bulgaria||Near the Greece-Bulgaria border, in Bulgaria||land||0||26||0||4",1,2019-09-13,2019-09-13,pdfs/pad-2025-00339/10070-2019_redacted-ptp2.pdf
10070/2019,"2019-09-13||2019-09-12||Bulgaria||Near the Greece-Bulgaria border, in Bulgaria, close to a village and an old train station.||land||0||26||0||9",1,2019-09-13,2019-09-13,pdfs/pad-2025-00371/10070-2019.pdf
10071/2020,"2020-01-09||2020-01-08||Greece||Evros River area, Greece||land||1||||||0",1,2020-01-09,2020-01-09,pdfs/pad-2020-00145/FOA_LAND_2019_SIR.pdf
10071/2020,"2020-01-09||2020-01-08||Greece||Evros River area, Greece||land||1||0||0||0",1,2020-01-09,2020-01-09,pdfs/pad-2020-00217/Doc_9.pdf
10071/2020,"2020-01-09||2020-01-08||Greece||Evros River, Greece||land||1||0||0||0",1,2020-01-09,2020-01-09,pdfs/pad-2020-00167/SIR_Part_1.pdf
10079/2025,"2025-03-20||2025-01-12||Serbia||An assault occurred in Serbia, involving a person off duty from JO SERBIA 2024, who was hospitalized and an investigation was opened.||land||||1||||0",1,2025-03-20,2025-03-20,pdfs/sir_10079.2025_redacted/SIR_10079.2025_Redacted.pdf
10112/2019,"2019-09-27||2019-09-27||Aegean Sea, Greece||Sea area north of Oinousses, near Chios island||sea||6||||||0",1,2019-09-27,2019-09-27,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_2_Releasable.pdf
10112/2019,"2019-09-27||2019-09-27||Chios, Greece||North of Oinousses, near Chios island||sea||6||||0||0",1,2019-09-27,2019-09-27,pdfs/pad-2020-00217/Doc_4.pdf
10128/2019,"2019-09-29||2019-09-29||Lesvos, Greece||Moria camp, Lesvos island||facility||1||0||0||0",2,2019-09-29,2019-09-29,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_2_Releasable.pdf | pdfs/pad-2020-00217/Doc_4.pdf
10137/2020,"2020-01-13||2019-11-01||Lesvos island||Lesvos island, Greece||land||0||0||0||3",1,2020-01-13,2020-01-13,pdfs/pad-2025-00339/10137-2020_redacted.pdf
10142/2018,"2018-11-18||2018-11-06||Evros area (Greece/Turkey border)||Evros area, border river between Greece and Turkey||land||||||||4",1,2018-11-18,2018-11-18,pdfs/pad-2025-00339/SIR_10142_2018.pdf
10149/2018,"2018-12-05||2018-12-04||Turkey (near Greek border)||Turkey, near the Greek border, by the Evros River||land||3||0||0||1",1,2018-12-05,2018-12-05,pdfs/pad-2025-00339/SIR_10149_2018.pdf
10152/2024,2024-05-20||2023-12-23||Serbia-Bulgaria border area||Serbia-Bulgaria border area||land||0||0||0||3,1,2024-05-20,2024-05-20,pdfs/pad-2024-00314/SIR_10152-2024_Final_Report_rps.pdf
10154/2017,2017-04-07||2017-04-06||hotspot||hotspot||facility||||0||||0,1,2017-04-07,2017-04-07,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf
10155/2017,2017-04-07||2017-04-06||hotspot||Hotspot||facility||||1||||0,1,2017-04-07,2017-04-07,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf
10156/2017,2017-04-11||2017-04-10||RIC||Minors section of RIC||facility||||0||||0,1,2017-04-11,2017-04-11,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf
10158/2021,"2021-01-20||2021-01-19||Lesvos island||Southeast of Lesvos island, Greece||sea||1||0||0||0",1,2021-01-20,2021-01-20,pdfs/pad-2022-00307-documents/pad-2022-00307-documents.pdf
10158/2024,"2024-05-24||2023-12-31||Serbia, Bulgaria||Serbian-Bulgarian border area||land||0||0||0||3",1,2024-05-24,2024-05-24,pdfs/pad-2024-00314/SIR_10158_2024_Final_Report_rps.pdf
10175/2017,2017-05-13||2017-05-12||Kos Island||Kos Island||land||0||1||0||1,1,2017-05-13,2017-05-13,pdfs/pad-2025-00339/10175-2017_redacted-ptp.pdf
10175/2017,"2017-05-13||2017-05-12||Kos, Greece||Reception and Identification Centre Pyli, Kos island, Greece||facility||||||||1",1,2017-05-13,2017-05-13,pdfs/documents-pad-2020-00077/Documents_(PAD-2020-00077).pdf
10187/2017,"2017-06-08||2017-05-24||Greece / Turkey border (Evros River)||Evros River, near Didymoteicho, Greece||land||||||||2",1,2017-06-08,2017-06-08,pdfs/pad-2025-00339/Redacted_10187-2017.pdf
10194/2019,"2019-10-04||2019-10-03||Greece||Near Kastoria city, Greece||land||||1||||6",2,2019-10-04,2019-10-04,pdfs/pad-2025-00339/10194-2019_redacted2.pdf | pdfs/pad-2025-00371/10194-2019.pdf
10201/2019,"2019-10-05||2019-10-05||Greece||Toll gate near the border with North Macedonia, Greece||land||0||0||0||0",1,2019-10-05,2019-10-05,pdfs/pad-2020-00167/SIR_Part_1.pdf
10207/2017,2017-07-10||2017-07-10||hotspot||hotspot||facility||||0||||0,1,2017-07-10,2017-07-10,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf
10208/2022,||2022-01-13||Lithuania||Lithuanian border||land||||||||4,1,,,pdfs/pad-2025-00371/10208_2022.pdf
10209/2017,"2017-07-22||2017-07-21||Unknown||Operational area, location redacted||unknown||0||1||0||0",1,2017-07-22,2017-07-22,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_4_redacted.pdf
10211/2017,"2017-07-19||2017-07-17||Unknown||EASO facilities, main entrance of a facility, operational area redacted||facility||0||10||0||0",1,2017-07-19,2017-07-19,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_4_redacted.pdf
10215/2017,"2017-08-11||2017-08-11||Sea area||Operational sea area, location redacted||sea||0||1||0||0",1,2017-08-11,2017-08-11,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_4_redacted.pdf
10222/2025,"2025-07-31||2024-12-27||Bulgaria||Near the Bulgarian-Turkish border, on Bulgarian territory||land||3||0||0||2",1,2025-07-31,2025-07-31,pdfs/pad-2025-00428/10222_2025.pdf
10223/2025,2025-09-22||2025-01-22||Bulgaria-Greece border||Disputed Bulgaria-Greece border area||land||0||0||0||2,1,2025-09-22,2025-09-22,pdfs/pad-2025-00428/SIR_10223.2025_Final_redacted.pdf
10224/2017,"2017-10-04||2017-10-02||Sea area||Sea area, operational area redacted||sea||0||0||0||0",1,2017-10-04,2017-10-04,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_4_redacted.pdf
10227/2017,"2017-10-20||2017-10-20||Lesvos, Greece||Lesvos, in a tent||land||1||0||0||0",1,2017-10-20,2017-10-20,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_4_redacted.pdf
10228/2017,2017-10-21||2017-10-20||Poseidon Sea operational area (land-based facility)||Within a RIC (Reception and Identification Centre) in an unspecified location related to Poseidon Sea operation.||facility||0||2||0||0,1,2017-10-21,2017-10-21,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_5_redacted.pdf
10229/2017,2017-10-23||2017-10-23||Poseidon Sea operational area (land-based facility)||EASO area within an unspecified facility related to Poseidon Sea operation.||facility||0||0||0||0,1,2017-10-23,2017-10-23,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_5_redacted.pdf
10230/2016,"2016-04-27||2016-04-26||Lesvos Island, Greece||Lesvos Island||facility||||||||1",1,2016-04-27,2016-04-27,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf
10230/2017,"2017-10-24||2017-06-12||Hungary, Serbia||Hungarian-Serbian border||land||0||0||0||1",1,2017-10-24,2017-10-24,pdfs/pad-2025-00339/Redacted_10230-2017-ptp.pdf
10231/2017,2017-10-26||2017-10-25||Poseidon Sea operational area (land-based facility)||An unspecified accommodation facility related to Poseidon Sea operation.||facility||0||1||0||0,1,2017-10-26,2017-10-26,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_5_redacted.pdf
10232/2019,"2019-10-08||2019-10-01||Greece||Near Kastoria city, Greece||land||||||||6",2,2019-10-08,2019-10-08,pdfs/pad-2025-00339/10232-2019_redacted2.pdf | pdfs/pad-2025-00371/10232-2019.pdf
10240/2016,"2016-06-13||2016-06-11||Aegean Sea||Maritime border between Turkey and Greece, Aegean Sea||sea||0||0||0||0",1,2016-06-13,2016-06-13,pdfs/doc-1-1-1/doc-1-1-1.pdf
10240/2016,"2016-06-13||2016-06-11||Aegean Sea, Turkey/Greece||Maritime border line between Turkey and Greece, near Cesme||sea||||||||1",1,2016-06-13,2016-06-13,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf
10247/2017,"2017-11-02||2017-11-02||Poseidon Sea operational area (land-based camp)||New extension area of a camp (East part, out of security perimeter) in an unspecified location related to Poseidon Sea operation.||facility||0||||0||0",1,2017-11-02,2017-11-02,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_5_redacted.pdf
10248/2017,2017-11-02||2017-11-02||Poseidon Sea operational area (land-based facility)||Hotel room in an unspecified location related to Poseidon Sea operation.||facility||1||0||0||0,1,2017-11-02,2017-11-02,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_5_redacted.pdf
10249/2016,"2016-07-07||2016-07-07||Leros Island, Greece||Leros Island Hotspot||facility||||||||1",1,2016-07-07,2016-07-07,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf
10251/2021,"2021-02-01||2020-12-18||Greece (Chios Island), Turkey (Aegean Sea near Kusadasi)||Chios Island, Greece and off the coast of Kusadasi, Turkey||mixed||||||||6",1,2021-02-01,2021-02-01,pdfs/pad-2025-00371/10251-2021.pdf
10252/2016,"2016-07-14||2016-07-13||Lesvos Island, Greece||East of Lesvos Island||sea||4||||3||1",1,2016-07-14,2016-07-14,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf
10256/2017,"2017-11-20||2017-11-19||Greece, Aegean Sea||Reception and Identification Centre (RIC) in Greece, within the Joint Operation Poseidon area.||facility||0||0||0||0",1,2017-11-20,2017-11-20,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_6_redacted.pdf
10261/2025,"2025-02-07||||Greece, Georgia, Pakistan||Joint Return Operation from Greece to Georgia and Pakistan||mixed||0||0||0||2",1,2025-02-07,2025-02-07,pdfs/pad-2025-00085/10261_2025_redacted-1.pdf
10263/2019,"2019-10-10||2019-10-09||Greece||Near Sohos village, Thessaloniki, Greece||land||3||12||0||0",1,2019-10-10,2019-10-10,pdfs/pad-2020-00167/SIR_Part_1.pdf
10267/2017,2017-12-12||2017-12-11||Evros River||Evros River border between Greece and Turkey||mixed||0||4||0||2,1,2017-12-12,2017-12-12,pdfs/pad-2025-00339/10267-2017_redacted.pdf
10269/2016,"2016-08-05||2016-08-04||Lesvos Island, Greece||Southeast of Lesvos Island||sea||0||0||0||1",1,2016-08-05,2016-08-05,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf
10272/2017,2017-01-28||2017-01-24||Greece||Migrant camp in Greece||facility||1||0||0||0,1,2017-01-28,2017-01-28,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_1_redacted.pdf
10273/2017,2017-01-28||2017-01-28||Hotspot||A tent in an unspecified hotspot||facility||1||0||0||0,1,2017-01-28,2017-01-28,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_2_redacted.pdf
10276/2017,2017-01-30||2017-01-30||Hotspot||A tent in an unspecified hotspot||facility||1||0||0||0,1,2017-01-30,2017-01-30,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_2_redacted.pdf
10277/2016,"2016-08-22||2016-08-22||Lesvos island, Greece||Near Lesvos island||sea||0||0||0||1",1,2016-08-22,2016-08-22,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf
10277/2017,"2017-02-08||2017-02-05||Bulgaria, Turkey||Near Svilengrad, Bulgarian-Turkish land border||land||0||0||0||2",1,2017-02-08,2017-02-08,pdfs/pad-2025-00339/10277-2017_redacted.pdf
10279/2017,2017-02-18||2017-02-15||||Local hospital in an unspecified operational area||facility||0||2||0||0,1,2017-02-18,2017-02-18,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_2_redacted.pdf
10280/2017,"2017-02-18||2017-02-14||Lesvos Island, Greece||North of Lesvos Island in Greek territorial waters||sea||0||0||0||0",1,2017-02-18,2017-02-18,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_2_redacted.pdf
10284/2025,"2025-09-18||2025-02-01||Serbia||Serbian-Bulgarian border area, Serbia||land||0||3||0||1",1,2025-09-18,2025-09-18,pdfs/pad-2025-00428/10284_2025.pdf
10292/2017,"2017-03-18||2017-03-17||Lesvos Island, Greece||Southeast area of Lesvos Island, Greek territorial waters||sea||0||0||0||0",1,2017-03-18,2017-03-18,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_2_redacted.pdf
10293/2016,2016-01-25||2016-01-25||Unknown||Petrol station near a border crossing point||land||1||2||||1,1,2016-01-25,2016-01-25,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf
10299/2017,2017-03-20||2017-03-16||Island||off [redacted] Island||sea||0||||||0,1,2017-03-20,2017-03-20,pdfs/pad-2025-00427/Old_Cat.1_SIRs_2017__Doc_3_redacted.pdf
10305/2019,"2019-10-15||2019-10-14||Samos, Greece||Samos island, specifically Vathy town and the camp||mixed||0||3||||0",1,2019-10-15,2019-10-15,pdfs/pad-2020-00217/Doc_4.pdf
10305/2019,"2019-10-15||2019-10-14||Samos, Greece||Samos Island, Vathy, migrant camp||mixed||0||3||||0",1,2019-10-15,2019-10-15,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_2_Releasable.pdf
10327/2016,"2016-08-29||2016-08-28||Samos Island, Greece||Samos Island||land||1||1||||0",1,2016-08-29,2016-08-29,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf
10336/2022,2022-01-24||2022-01-22||Bulgaria||Parking area within a facility in Bulgaria.||facility||0||0||0||1,1,2022-01-24,2022-01-24,pdfs/pad-2022-00470/Documents1.pdf
10336/2022,2022-01-24||2022-01-22||Bulgaria||Bulgaria||land||0||0||0||1,1,2022-01-24,2022-01-24,pdfs/pad-2022-00465/Documents03.pdf
10346/2024,"2024-07-23||2024-01-13||Serbia, Bulgaria||Serbia-Bulgaria border area, including a police station and a forest in Serbia||mixed||||||||3",1,2024-07-23,2024-07-23,pdfs/sirs-pad-2024-00396/sirs-pad-2024-00396.pdf
10347/2022,"2022-10-27||2022-01-24||Tunisian SAR zone, Maltese SAR zone||Tunisian and Maltese SAR zones||sea||7||||||5",1,2022-10-27,2022-10-27,pdfs/pad-2022-00328/Documents_1.pdf
10347/2022,"2022-10-27||2022-01-24||Tunisian SAR zone, Maltese SAR zone, Italian SAR region||Migrant boat detected in Tunisian SAR zone, then Maltese SAR zone, eventually rescued in Italian SAR region.||sea||7||||||5",1,2022-10-27,2022-10-27,pdfs/pad-2025-00371/10347_12634_12318_12048-2022.pdf
10347/2022,||||||||||||||||0,1,,,pdfs/pad-2022-00328/List_-1.pdf
10374/2019,"2019-10-18||2019-10-18||Samos, Greece||Samos island||land||||||||0",1,2019-10-18,2019-10-18,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_2_Releasable.pdf
10374/2019,"2019-10-18||2019-10-18||Samos, Greece||Samos island, specifically Eastern Samos, likely Vathy town or near the camp||land||||||||0",1,2019-10-18,2019-10-18,pdfs/pad-2020-00217/Doc_4.pdf
10375/2021,"2021-02-08||2021-02-08||Bulgaria||Operational Area Sofia, Bulgaria||land||0||0||0||0",1,2021-02-08,2021-02-08,pdfs/pad-2022-00465/Documents01.pdf
10380/2019,"2019-10-19||2019-10-19||Samos, Greece||Samos hotspot and Vathy town, Samos island||mixed||0||||||0",1,2019-10-19,2019-10-19,pdfs/pad-2020-00217/Doc_4.pdf
10380/2019,"2019-10-19||2019-10-19||Samos, Greece||Samos island, Vathy town and hotspot||mixed||0||||||0",1,2019-10-19,2019-10-19,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2019_2_Releasable.pdf
10380/2019,"2019-10-19||2019-10-19||Samos Island||Samos Island, Vathy town||land||0||||||0",1,2019-10-19,2019-10-19,pdfs/pad-2022-00305-document-/pad-2022-00305-document-.pdf
10392/2019,"2019-10-21||2019-10-19||Greece||Rural road near Didymoteicho, Greece||land||0||13||0||0",1,2019-10-21,2019-10-21,pdfs/pad-2020-00167/SIR_Part_1.pdf
10392/2023,"||||Serbia||Belgrade airport, Serbia||facility||0||0||0||2",1,,,pdfs/pad-2025-00076_157/45th_MB_Report_Annex_2_SIR_Country_Profile_Serbia_redacted.pdf
10395/2025,"2025-03-05||2025-02-28||Greece||Greece, sea area||sea||0||0||0||2",1,2025-03-05,2025-03-05,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf
10434/2016,"2016-06-14||2016-06-13||Crete Island, Greece||Crete Island||sea||||||||0",1,2016-06-14,2016-06-14,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf
10437/2019,"2019-10-24||2019-10-21||Germany||Hamburg Airport, Germany||facility||||||||32",1,2019-10-24,2019-10-24,pdfs/pad-2025-00339/10437-2019_redacted2.pdf
10448/2024,2024-06-11||2024-01-12||Serbia||Serbia-Bulgaria border area||land||||2||||3,1,2024-06-11,2024-06-11,pdfs/pad-2024-00314/SIR_10448_2024_Final_Report_rps.pdf
10463/2024,"||||Aegean Sea, Greece||Greek territorial waters||sea||||||||5",1,,,pdfs/pad-2025-00076_157/45th_MB_Report_Annex_1_SIR_Country_Profile_Greece_redacted.pdf
10482/2025,2025-03-28||2025-03-26||Serbia||Serbia||land||0||0||0||2,1,2025-03-28,2025-03-28,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf
10489/2019,"2019-10-29||2019-10-29||Greece||Evros River bank, Greece||land||1||0||0||0",1,2019-10-29,2019-10-29,pdfs/pad-2020-00167/SIR_Part_1.pdf
10489/2024,2024-02-05||2024-02-05||Serbia||Serbia||land||0||0||0||0,1,2024-02-05,2024-02-05,pdfs/pad-2024-00314/SIR_10489_2024_PDF_redacted_and_scanned_version.pdf
10494/2021,2021-02-17||2021-02-17||Albania||Self-isolation in an Operational Area near the Albanian-Greek Border||land||0||0||0||0,1,2021-02-17,2021-02-17,pdfs/pad-2022-00420/2_SIRs.pdf
10508/2025,"2025-06-25||2025-02-19||Lithuania||Kybartai Border Crossing Point, Lithuania||facility||0||0||0||1",1,2025-06-25,2025-06-25,pdfs/pad-2025-00330-1/SIR_10508_2025_redacted2.pdf
10524/2019,"2019-10-31||2019-10-29||Greece||Hotel parking area, Alexandroupolis, Greece||land||0||0||0||0",1,2019-10-31,2019-10-31,pdfs/pad-2020-00167/SIR_Part_1.pdf
10528/2025,"2025-06-30||2025-03-01||Tunisia (Miskar gas platform), Maltese and Tunisian SAR regions, Libyan SAR region||Miskar gas platform in overlapping Maltese and Tunisian SAR regions, Gulf of Gabès||mixed||1||0||0||2",1,2025-06-30,2025-06-30,pdfs/pad-2025-00330-1/10528_2025_-_redacted.pdf
10533/2020,"2020-02-21||2020-02-19||Greece||Alexandroupolis, Nomós Évrou, Greece||land||0||1||0||0",2,2020-02-21,2020-02-21,pdfs/pad-2020-00078/SirExport_JO_Poseidon_2020_Releasable.pdf | pdfs/pad-2020-00125-attachment/PAD-2020-00125_attachment.pdf
10533/2020,"2020-02-21||2020-02-19||Greece||Alexandroupolis, Greece||sea||0||1||0||0",1,2020-02-21,2020-02-21,pdfs/pad-2020-00217/Doc_11.pdf
