record_uid,sir_id,source_file,violation_index,violation_name,legal_basis,assessment
530,10158/2024,pdfs/pad-2024-00314/SIR_10158_2024_Final_Report_rps.pdf,0,Prohibition of inhuman or degrading treatment,Article 3 of the European Convention on Human Rights,possible
530,10158/2024,pdfs/pad-2024-00314/SIR_10158_2024_Final_Report_rps.pdf,1,Protection of property,Article 1 of Protocol No 1 to the European Convention on Human Rights,possible
530,10158/2024,pdfs/pad-2024-00314/SIR_10158_2024_Final_Report_rps.pdf,2,Prohibition of collective expulsion,Article 4 of Protocol No 4 to the European Convention on Human Rights,likely
627,10175/2017,pdfs/pad-2025-00339/10175-2017_redacted-ptp.pdf,0,Sexual abuse of unaccompanied minor,Fundamental Rights or international protection obligations,likely
638,10187/2017,pdfs/pad-2025-00339/Redacted_10187-2017.pdf,0,Alleged violations of Fundamental Rights or international protection obligations,,possible
638,10187/2017,pdfs/pad-2025-00339/Redacted_10187-2017.pdf,1,Refoulement,,likely
628,10194/2019,pdfs/pad-2025-00339/10194-2019_redacted2.pdf,0,right to life,,possible
628,10194/2019,pdfs/pad-2025-00339/10194-2019_redacted2.pdf,1,integrity,,possible
628,10194/2019,pdfs/pad-2025-00339/10194-2019_redacted2.pdf,2,human dignity,,possible
628,10194/2019,pdfs/pad-2025-00339/10194-2019_redacted2.pdf,3,"prohibition of torture and inhuman, and degrading treatment",,possible
628,10194/2019,pdfs/pad-2025-00339/10194-2019_redacted2.pdf,4,degrading treatment,Article 4 of the EU Charter,possible
628,10194/2019,pdfs/pad-2025-00339/10194-2019_redacted2.pdf,5,right to human dignity,Article 1 of the EU Charter,possible
658,10208/2022,pdfs/pad-2025-00371/10208_2022.pdf,0,Right to life and human dignity,Article 1 and 2 of the EU Charter,likely
658,10208/2022,pdfs/pad-2025-00371/10208_2022.pdf,1,Prohibition of collective expulsion,Article 19 (1) of the EU Charter,likely
658,10208/2022,pdfs/pad-2025-00371/10208_2022.pdf,2,Right to asylum,Article 18 of the EU Charter,likely
658,10208/2022,pdfs/pad-2025-00371/10208_2022.pdf,3,Non-refoulement,Article 19 (2) of the EU Charter,likely
762,10222/2025,pdfs/pad-2025-00428/10222_2025.pdf,0,Right to life,Article 2 of the Charter of Fundamental Rights of the European Union,likely
762,10222/2025,pdfs/pad-2025-00428/10222_2025.pdf,1,Rights of the child,Article 24 of the Charter of Fundamental Rights of the European Union,likely
770,10223/2025,pdfs/pad-2025-00428/SIR_10223.2025_Final_redacted.pdf,0,Prohibition of collective expulsion,Article 19(1) of the EU Charter for Fundamental Rights,unclear
770,10223/2025,pdfs/pad-2025-00428/SIR_10223.2025_Final_redacted.pdf,1,Right to property,Article 17(1) of the EU Charter of Fundamental Rights,unclear
440,10230/2016,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf,0,"Incidents occurring in Frontex activities/joint operations, return operations and other return-related activities and not related to Frontex staff, or other participants in Frontex activities",,not_stated
639,10230/2017,pdfs/pad-2025-00339/Redacted_10230-2017-ptp.pdf,0,Alleged violations of Fundamental Rights or international protection obligations,,possible
629,10232/2019,pdfs/pad-2025-00339/10232-2019_redacted2.pdf,0,Right to life,,likely
629,10232/2019,pdfs/pad-2025-00339/10232-2019_redacted2.pdf,1,Integrity,,likely
629,10232/2019,pdfs/pad-2025-00339/10232-2019_redacted2.pdf,2,Human dignity,,likely
629,10232/2019,pdfs/pad-2025-00339/10232-2019_redacted2.pdf,3,"Prohibition of torture and inhuman, and degrading treatment",,likely
629,10232/2019,pdfs/pad-2025-00339/10232-2019_redacted2.pdf,4,Degrading treatment,Article 4 of the EU Charter,possible
629,10232/2019,pdfs/pad-2025-00339/10232-2019_redacted2.pdf,5,Right to human dignity,Article 1 of the EU Charter,possible
437,10249/2016,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf,0,Situations of high political and/or operational relevance especially with the potential to affect EU border management of one or more MS/SAC including international crisis situations,,not_stated
660,10251/2021,pdfs/pad-2025-00371/10251-2021.pdf,0,Right to life and human dignity,Articles 1 and 2 of the EU Charter of Fundamental Rights,possible
660,10251/2021,pdfs/pad-2025-00371/10251-2021.pdf,1,Right to integrity of the person,Article 3 of EU Charter,possible
660,10251/2021,pdfs/pad-2025-00371/10251-2021.pdf,2,Prohibition of inhuman or degrading treatment,Article 4 of the EU Charter,possible
660,10251/2021,pdfs/pad-2025-00371/10251-2021.pdf,3,Prohibition of collective expulsion,Article 19(1) of EU Charter,possible
660,10251/2021,pdfs/pad-2025-00371/10251-2021.pdf,4,Right to asylum,Article 18 of EU Charter,possible
660,10251/2021,pdfs/pad-2025-00371/10251-2021.pdf,5,Non-refoulement,Article 19 (2) of EU Charter,possible
436,10252/2016,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf,0,"Incidents occurring in Frontex activities/joint operations, return operations and other return-related activities and not related to Frontex staff, or other participants in Frontex activities",,not_stated
584,10261/2025,pdfs/pad-2025-00085/10261_2025_redacted-1.pdf,0,"Code of Conduct for return operations and return intervention, art. 13 (recording)",Frontex Code of Conduct (CoC),likely
584,10261/2025,pdfs/pad-2025-00085/10261_2025_redacted-1.pdf,1,Implementation Plan par. 14 (media activities coordination),Implementation Plan,likely
630,10267/2017,pdfs/pad-2025-00339/10267-2017_redacted.pdf,0,Alleged violation of fundamental rights - unprocessed return,,possible
630,10267/2017,pdfs/pad-2025-00339/10267-2017_redacted.pdf,1,Ill-treatment / Violence,,possible
435,10269/2016,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf,0,Situations of high political and/or operational relevance especially with the potential to affect EU border management of one or more MS/SAC including international crisis situations,,not_stated
434,10277/2016,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf,0,Situations of high political and/or operational relevance especially with the potential to affect EU border management of one or more MS/SAC including international crisis situations,,not_stated
631,10277/2017,pdfs/pad-2025-00339/10277-2017_redacted.pdf,0,Alleged violation of Fundamental Rights - Use of force against migrant,Fundamental Rights or international protection obligations,unclear
631,10277/2017,pdfs/pad-2025-00339/10277-2017_redacted.pdf,1,Lack of food and water during detention,Fundamental Rights or international protection obligations,unclear
763,10284/2025,pdfs/pad-2025-00428/10284_2025.pdf,0,Prohibition of inhuman or degrading treatment,Article 3 of the European Convention on Human Rights,unclear
441,10293/2016,pdfs/pad-2022-00454-documents/pad-2022-00454-documents.pdf,0,Situations of high political and/or operational relevance especially with the potential to affect EU border management of one or more MS/SAC including international crisis situations,,not_stated
459,10336/2022,pdfs/pad-2022-00465/Documents03.pdf,0,Situations with serious actual or potential negative implications on Frontex core tasks,SIR Category 3,likely
793,10346/2024,pdfs/sirs-pad-2024-00396/sirs-pad-2024-00396.pdf,0,Prohibition of inhuman or degrading treatment,Article 3 of the European Convention on Human Rights,possible
793,10346/2024,pdfs/sirs-pad-2024-00396/sirs-pad-2024-00396.pdf,1,Protection of property,Article 1 of Protocol No 1 to the European Convention on Human Rights,possible
793,10346/2024,pdfs/sirs-pad-2024-00396/sirs-pad-2024-00396.pdf,2,Prohibition of collective expulsion,Article 4 of Protocol No 4 of the European Convention on Human Rights,likely
356,10347/2022,pdfs/pad-2022-00328/Documents_1.pdf,0,Right to life,Article 2 of the Charter of Fundamental Rights of the European Union,possible
356,10347/2022,pdfs/pad-2022-00328/Documents_1.pdf,1,Human dignity,Article 1 of the Charter of Fundamental Rights of the European Union,possible
356,10347/2022,pdfs/pad-2022-00328/Documents_1.pdf,2,Right to integrity of the person,Article 3 of the Charter of Fundamental Rights of the European Union,possible
356,10347/2022,pdfs/pad-2022-00328/Documents_1.pdf,3,Prohibition of inhuman and degrading treatment,Article 4 of the Charter of Fundamental Rights of the European Union,possible
356,10347/2022,pdfs/pad-2022-00328/Documents_1.pdf,4,The obligation to conduct rescue operations in accordance with international human rights standards and maritime law obligations,SAR and SOLAS Conventions,possible
566,10392/2023,pdfs/pad-2025-00076_157/45th_MB_Report_Annex_2_SIR_Country_Profile_Serbia_redacted.pdf,0,ignored asylum application,,not_stated
566,10392/2023,pdfs/pad-2025-00076_157/45th_MB_Report_Annex_2_SIR_Country_Profile_Serbia_redacted.pdf,1,attempted removal of asylum applicants from Serbia,,not_stated
616,10395/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,0,Redacted,"EU or international law, Fundamental Rights and international protection obligations",not_stated
616,10395/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,1,Redacted,Frontex Code of Conduct (CoC),not_stated
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,0,Art. 28 (6),REGULATION (EU) 2016/1624,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,1,Art. 8 (6),DIRECTIVE 2008/115/EC,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,2,Art. 13,CoC for FRONTEX JRO,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,3,Art. 14,CoC for FRONTEX JRO,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,4,Art. 4,CoC for FRONTEX JRO,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,5,Art. 5,CoC for FRONTEX JRO,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,6,Art. 7,CoC for FRONTEX JRO,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,7,Art. 1,CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,8,Art. 4,CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,9,Art. 6 (security),CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,10,Art. 7,CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,11,Art. 17,CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,12,Art. 20,CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,13,Art. 21,CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,14,Art. 24 (removal of parent),CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,15,Art. 33,CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,16,Art. 35,CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,17,Art. 41,CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,18,Art. 47,CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,19,Art. 51,CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,20,Art. 52,CHARTER OF FUNDAMENTAL RIGHTS OF THE EUROPEAN UNION (2000/C 364/01),possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,21,Art. 1 (discrimination because of gender),UN GENERAL ASSEMBLY RESOLUTION 217 A,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,22,Art. 2 (degrading treatment and human dignity),UN GENERAL ASSEMBLY RESOLUTION 217 A,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,23,Art. 3 (property),UN GENERAL ASSEMBLY RESOLUTION 217 A,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,24,Art. 5 (family),UN GENERAL ASSEMBLY RESOLUTION 217 A,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,25,Art. 7 (health access),UN GENERAL ASSEMBLY RESOLUTION 217 A,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,26,Art. 9 (right to good administration),UN GENERAL ASSEMBLY RESOLUTION 217 A,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,27,Art. 12,UN GENERAL ASSEMBLY RESOLUTION 217 A,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,28,Art. 16,UN GENERAL ASSEMBLY RESOLUTION 217 A,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,29,Art. 17,UN GENERAL ASSEMBLY RESOLUTION 217 A,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,30,Art. 25,UN GENERAL ASSEMBLY RESOLUTION 217 A,possible
632,10437/2019,pdfs/pad-2025-00339/10437-2019_redacted2.pdf,31,Art. 28,UN GENERAL ASSEMBLY RESOLUTION 217 A,possible
531,10448/2024,pdfs/pad-2024-00314/SIR_10448_2024_Final_Report_rps.pdf,0,Prohibition of collective expulsion,Article 4 of Protocol No 4 to the European Convention on Human Rights,likely
531,10448/2024,pdfs/pad-2024-00314/SIR_10448_2024_Final_Report_rps.pdf,1,Prohibition of inhuman or degrading treatment,Article 3 of the European Convention on Human Rights,likely
531,10448/2024,pdfs/pad-2024-00314/SIR_10448_2024_Final_Report_rps.pdf,2,Protection of property,Article 1 of Protocol No 1 to the European Convention on Human Rights,likely
564,10463/2024,pdfs/pad-2025-00076_157/45th_MB_Report_Annex_1_SIR_Country_Profile_Greece_redacted.pdf,0,"Use of threats, shots, violence, dangerous maneuvers",,not_stated
564,10463/2024,pdfs/pad-2025-00076_157/45th_MB_Report_Annex_1_SIR_Country_Profile_Greece_redacted.pdf,1,Break engine,,not_stated
564,10463/2024,pdfs/pad-2025-00076_157/45th_MB_Report_Annex_1_SIR_Country_Profile_Greece_redacted.pdf,2,Sink or tow the migrant boat,,not_stated
564,10463/2024,pdfs/pad-2025-00076_157/45th_MB_Report_Annex_1_SIR_Country_Profile_Greece_redacted.pdf,3,Abandon migrants in life raft,,not_stated
564,10463/2024,pdfs/pad-2025-00076_157/45th_MB_Report_Annex_1_SIR_Country_Profile_Greece_redacted.pdf,4,Prevention of departure,,not_stated
615,10482/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,0,Redacted,"EU or international law, Fundamental Rights and international protection obligations",not_stated
615,10482/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,1,Redacted,Frontex Code of Conduct (CoC),not_stated
610,10508/2025,pdfs/pad-2025-00330-1/SIR_10508_2025_redacted2.pdf,0,Right to asylum,Article 18 of the EU Charter of Fundamental Rights,likely
598,10528/2025,pdfs/pad-2025-00330-1/10528_2025_-_redacted.pdf,0,Obligation to conduct rescue operations,international human rights standards and maritime law obligations (SAR and SOLAS conventions),likely
598,10528/2025,pdfs/pad-2025-00330-1/10528_2025_-_redacted.pdf,1,Right to life,"Article 2 of the Charter of Fundamental Rights of the European Union, and Article 6 of the International Covenant on Civil and Political Rights",likely
518,10548/2022,pdfs/pad-2023-00450/SIR_Albania_2022_part_2.pdf,0,Right to human dignity,"Article 1 of the EU Charter of Fundamental Rights - ""the EU Charter""",possible
518,10548/2022,pdfs/pad-2023-00450/SIR_Albania_2022_part_2.pdf,1,Right to integrity of the person,Article 3 of the EU Charter,possible
518,10548/2022,pdfs/pad-2023-00450/SIR_Albania_2022_part_2.pdf,2,Prohibition of torture and inhuman or degrading treatment or punishment,Article 4 of the EU Charter,possible
518,10548/2022,pdfs/pad-2023-00450/SIR_Albania_2022_part_2.pdf,3,Right to asylum,Article 18 of EU Charter,possible
518,10548/2022,pdfs/pad-2023-00450/SIR_Albania_2022_part_2.pdf,4,Non-refoulement,Article 19 (2) of EU Charter,possible
518,10548/2022,pdfs/pad-2023-00450/SIR_Albania_2022_part_2.pdf,5,Fundamental rights,Article 4 - Frontex Code of Conduct,possible
518,10548/2022,pdfs/pad-2023-00450/SIR_Albania_2022_part_2.pdf,6,Responsibility,Article 7 - Frontex Code of Conduct,possible
518,10548/2022,pdfs/pad-2023-00450/SIR_Albania_2022_part_2.pdf,7,Behavioural standards,Article 10 (a) - Frontex Code of Conduct,possible
518,10548/2022,pdfs/pad-2023-00450/SIR_Albania_2022_part_2.pdf,8,Prohibition of abuse of authority and position,Article 11 - Frontex Code of Conduct,possible
518,10548/2022,pdfs/pad-2023-00450/SIR_Albania_2022_part_2.pdf,9,Excessive use of force,Article 18 (3) - Frontex Code of Conduct,possible
623,10549/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,0,Redacted,"EU or international law, Fundamental Rights and international protection obligations",not_stated
623,10549/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,1,Redacted,Frontex Code of Conduct (CoC) applicable to all persons participating in Frontex operational activities and Policy on the use and management of Frontex rented vehicles for operational activities,not_stated
647,10570/2023,pdfs/pad-2025-00367/10570-2023_red.pdf,0,Right to asylum,article 18 of the EU Charter of Fundamental Rights,not_stated
647,10570/2023,pdfs/pad-2025-00367/10570-2023_red.pdf,1,Right to an effective remedy,article 47 of the EU Charter of Fundamental Rights,not_stated
647,10570/2023,pdfs/pad-2025-00367/10570-2023_red.pdf,2,Prohibition of torture and inhuman or degrading treatment or punishment,article 4 of the EU Charter of Fundamental Rights,not_stated
535,10590/2024,pdfs/pad-2024-00377/SIR_10590-2024.pdf,0,Violation of Codes of Conduct provisions,Codes of Conduct,likely
764,10611/2025,pdfs/pad-2025-00428/10611_2025.pdf,0,Right to asylum,Article 18 of the EU Charter of Fundamental Rights,likely
764,10611/2025,pdfs/pad-2025-00428/10611_2025.pdf,1,Right to an effective remedy,Article 47 of the EU of Fundamental Rights,likely
670,10633/2022,pdfs/pad-2025-00371/10633_2022.pdf,0,Right to life and human dignity,Articles 1 and 2 of the EU Charter of Fundamental Rights,likely
670,10633/2022,pdfs/pad-2025-00371/10633_2022.pdf,1,Right to integrity of the person,Article 3 of EU Charter,likely
670,10633/2022,pdfs/pad-2025-00371/10633_2022.pdf,2,Prohibition of inhuman or degrading treatment,Article 4 of EU Charter,likely
670,10633/2022,pdfs/pad-2025-00371/10633_2022.pdf,3,Prohibition of collective expulsion,Article 19(1) of EU Charter,likely
670,10633/2022,pdfs/pad-2025-00371/10633_2022.pdf,4,Right to asylum,Article 18 of EU Charter,likely
670,10633/2022,pdfs/pad-2025-00371/10633_2022.pdf,5,Non-refoulement,Article 19 (2) of EU Charter,likely
622,10640/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,0,Redacted,"EU or international law, Fundamental Rights and international protection obligations",not_stated
622,10640/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,1,Redacted,Frontex Code of Conduct (CoC) applicable to all persons participating in Frontex operational activities and Policy on the use and management of Frontex rented vehicles for operational activities,not_stated
633,10652/2020,pdfs/pad-2025-00339/10652-2020_redacted.pdf,0,Alleged violation of Fundamental Rights,,possible
765,10688/2025,pdfs/pad-2025-00428/10688_2025.pdf,0,Right to life,Article 6 of the International Covenant on Civil and Political Rights,likely
765,10688/2025,pdfs/pad-2025-00428/10688_2025.pdf,1,"Prohibition of torture or cruel, inhuman or degrading treatment or punishment",Article 7 of the International Covenant on Civil and Political Rights,likely
621,10693/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,0,Redacted,"EU or international law, Fundamental Rights and international protection obligations",not_stated
621,10693/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,1,Redacted,Frontex Code of Conduct (CoC),not_stated
599,10706/2025,pdfs/pad-2025-00330-1/10706.2025_Final_SIR_Cat_1.pdf,0,Right to property,Article 1 of Protocol No. 1 of the European Convention on Human Rights (ECHR),likely
363,10723/2022,pdfs/pad-2022-00328/Documents_2.pdf,0,Situations of potential violations of Fundamental Rights or international protection obligations,,not_stated
600,10739/2025,pdfs/pad-2025-00330-1/10739_2025__FINAL_SIR_Cat._2-3_redacted.pdf,0,Violation of Behavior standards,Art. 10 (Behavior standards) of Code of Conduct,likely
600,10739/2025,pdfs/pad-2025-00330-1/10739_2025__FINAL_SIR_Cat._2-3_redacted.pdf,1,Impact on operational activities and image of organization,SIR Category 3 requirements,likely
601,10749/2025,pdfs/pad-2025-00330-1/10749_2025_Final_SIR_Cat_1__JO_Albania_2025.pdf,0,Right to property,Article 1 of Protocol No. 1 of the European Convention on Human Rights (ECHR),likely
617,10771/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,0,Redacted,"EU or international law, Fundamental Rights and international protection obligations",not_stated
617,10771/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,1,Redacted,Frontex Code of Conduct (CoC),not_stated
620,10787/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,0,Redacted,"EU or international law, Fundamental Rights and international protection obligations",not_stated
620,10787/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,1,Redacted,Frontex Code of Conduct (CoC),not_stated
671,10804/2022,pdfs/pad-2025-00371/10804_2022.pdf,0,Prohibition of inhuman and degrading treatment,art. 4 of the EU Charter of Fundamental Rights,likely
671,10804/2022,pdfs/pad-2025-00371/10804_2022.pdf,1,Prohibition of collective expulsion,art. 19(1) of the EU Charter of Fundamental Rights,likely
671,10804/2022,pdfs/pad-2025-00371/10804_2022.pdf,2,Right to asylum,art. 18 of the EU Charter of Fundamental Rights,likely
671,10804/2022,pdfs/pad-2025-00371/10804_2022.pdf,3,Non-refoulement,art. 19 (2) of the EU Charter of Fundamental Rights,likely
619,10830/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,0,Redacted,"EU or international law, Fundamental Rights and international protection obligations",not_stated
619,10830/2025,pdfs/pad-2025-00330-1/SIRs_CMU_redacted.pdf,1,Redacted,Frontex Code of Conduct (CoC),not_stated
672,10842/2022,pdfs/pad-2025-00371/10842_2022.pdf,0,Prohibition of collective expulsion,"art. 19(1) of the EU Charter of Fundamental Rights, Article 4 of Protocol No. 4 to the ECHR",likely
672,10842/2022,pdfs/pad-2025-00371/10842_2022.pdf,1,Right to asylum,art. 18 of the EU Charter of Fundamental Rights,likely
